,Name,Symbol,NSE symbol,URL
DRREDDY,Dr Reddys Labs,DRL,DRREDDY,/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
EICHERMOT,Eicher Motors,EM,EICHERMOT,/india/stockpricequote/autolcvshcvs/eichermotors/EM
EIDPARRY,EID Parry,EID,EIDPARRY,/india/stockpricequote/sugar/eidparryindia/EID
EIHOTEL,EIH,EIH,EIHOTEL,/india/stockpricequote/hotels/eih/EIH
ELGIEQUIP,Elgi Equipments,EE01,ELGIEQUIP,/india/stockpricequote/compressors/elgiequipments/EE01
EMCO,Endurance Techn,ET01,EMCO,/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01
ENGINERSIN,EngineersInd,EI14,ENGINERSIN,/india/stockpricequote/infrastructuregeneral/engineersindia/EI14
EQUITAS,Equitas Holding,EH03,EQUITAS,/india/stockpricequote/financegeneral/equitasholdings/EH03
ESCORTS,Escorts,E,ESCORTS,/india/stockpricequote/autotractors/escorts/E
EXIDEIND,Exide Ind,EI,EXIDEIND,/india/stockpricequote/autoancillaries/exideindustries/EI
FDC,FDC,FDC,FDC,/india/stockpricequote/pharmaceuticals/fdc/FDC
FEDERALBNK,Federal Bank,FB,FEDERALBNK,/india/stockpricequote/banksprivatesector/federalbank/FB
FINEORG,Fine Organics,FOI,FINEORG,/india/stockpricequote/miscellaneous/fineorganicsindustries/FOI
FINCABLES,Finolex Cables,FC01,FINCABLES,/india/stockpricequote/cablestelephone/finolexcables/FC01
FINPIPE,Finolex Ind,FI,FINPIPE,/india/stockpricequote/petrochemicals/finolexindustries/FI
FSL,Firstsource Sol,FS07,FSL,/india/stockpricequote/computerssoftwaremediumsmall/firstsourcesolutions/FS07
FORTIS,Fortis Health,FH,FORTIS,/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH
FCONSUMER,Future Consumer,FVI,FCONSUMER,/india/stockpricequote/foodprocessing/futureconsumer/FVI
FRETAIL,Future Retail,FR,FRETAIL,/india/stockpricequote/retail/futureretail/FR
GAIL,GAIL,GAI,GAIL,/india/stockpricequote/oildrillingandexploration/gailindia/GAI
GALAXYSURF,Galaxy Surfacta,GSL06,GALAXYSURF,/india/stockpricequote/miscellaneous/galaxysurfactantsltd/GSL06
GRSE,Garden Reach Sh,GRS01,GRSE,/india/stockpricequote/engineeringheavy/gardenreachshipbuildersengineers/GRS01
GARFIBRES,Garware Technic,GWR,GARFIBRES,/india/stockpricequote/textilesgeneral/garwaretechnicalfibres/GWR
APLLTD,GE Power India,AP29,APLLTD,/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29
GESHIP,GE Shipping,GES,GESHIP,/india/stockpricequote/shipping/greateasternshippingcompany/GES
GICRE,General Insuran,GIC12,GICRE,/india/stockpricequote/diversified/generalinsurancecorporationindia/GIC12
GRANULES,Gillette India,GI22,GRANULES,/india/stockpricequote/personalcare/gilletteindia/GI22
GLENMARK,Glenmark,GP08,GLENMARK,/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08
